ENSG	RNA rpkm.human	Protein ibaq.human	RNA rpkm.chimp	Protein ibaq.chimp
ENSG00000062485	12.9446	7403417.45572042	27.2002	9158216.54063735
ENSG00000140105	76.108	7327883.37174951	120.075	22127924.8720555
ENSG00000128050	34.7081	7305120.90349091	40.6585	4644165.4409658
ENSG00000041357	135.902	7284058.32993315	122.817	6175289.84946392
ENSG00000178952	94.9302	7265008.10398554	76.2376	5488938.8740244
ENSG00000072506	46.6404	7221485.86081648	42.4701	8515888.32188744
ENSG00000196975	16.6874	7209375.64450185	10.5001	5980151.14107782
ENSG00000138279	61.4869	7147403.1582483	62.8737	5026049.50052554
ENSG00000110047	47.1112	7088916.57076936	88.9289	6921823.39090342
ENSG00000172115	14.8998	7011681.04490413	12.39	5998824.73247964
ENSG00000132646	129.04	6991850.59312977	192.446	10803569.8157578
ENSG00000108424	56.6734	6973770.8109802	90.5774	5608611.76647467
ENSG00000138668	78.8935	6968694.19081609	59.0225	6455808.50339918
ENSG00000004478	22.2102	6934364.69957692	20.7602	3812804.96469325
ENSG00000080824	174.399	6888995.03403666	271.906	6043417.55242854
ENSG00000075415	117.773	6853989.44830842	105.488	4388304.91796157
ENSG00000091527	101.342	6832202.57043329	91.443	7575668.14926179
ENSG00000167088	91.8298	6806403.1872451	67.3326	6776741.56406364
ENSG00000142864	54.7438	6797905.21613539	47.9422	6786981.86573665
ENSG00000087088	51.2285	6730286.4455125	53.0585	7737721.23158603
ENSG00000104529	44.9873	6729840.16735538	44.8767	6933180.84409936
ENSG00000131473	34.0691	6699194.52859366	53.7058	5117427.23457012
ENSG00000174903	4.17158	6652799.22737585	6.21197	6009376.71282772
ENSG00000101444	92.8603	6652034.18558708	92.5772	7520239.00388612
ENSG00000125970	100.682	6637715.80573446	81.2064	5830048.47777023
ENSG00000125166	70.2101	6594574.49950492	65.915	5706265.80893678
ENSG00000171863	174.876	6556466.42918353	11.2218	5605651.21900041
ENSG00000089248	133.198	6476059.07655394	75.3583	5852674.4247284
ENSG00000078140	27.1655	6419210.77119557	21.6849	3111191.647416
ENSG00000106028	12.4013	6378635.33889497	11.9501	7461479.10326604
ENSG00000167085	17.8965	6338818.62554794	29.0074	5822498.34543983
ENSG00000196531	325.85	6288944.92016226	304.607	7836559.73772149
ENSG00000105193	633.166	6223744.26232653	643.95	6501131.5070832
ENSG00000164924	5.83708	6222012.76677404	5.80139	5688602.46467859
ENSG00000105355	33.8373	6206416.25591417	25.488	3023048.05316386
ENSG00000138095	19.5244	6196060.39058802	34.0759	6251346.22768136
ENSG00000106588	58.135	6177621.83547005	55.8349	7099087.97685356
ENSG00000240065	120.504	6177093.84844792	132.864	7120761.88651675
ENSG00000114942	133.294	6158518.5244288	142.431	5403739.51507946
ENSG00000091140	29.2531	6142089.59450626	31.5272	4280080.2139389
ENSG00000100297	42.4643	6125941.03621147	28.8266	4450883.98700774
ENSG00000135486	201.215	6091795.06619905	15.4195	7456277.09324729
ENSG00000099901	19.9383	6080326.43826932	6.46683	4116868.33311196
ENSG00000184357	1.46575	6023464.49680977	0.33475	7054981.98337547
ENSG00000167863	2.44757	6001160.23988605	1.15841	6861931.97862042
ENSG00000170348	21.0649	5992801.36120884	38.5314	7395903.41027122
ENSG00000130402	31.248	5927405.7390208	59.5537	5491850.83051601
ENSG00000140740	115.709	5917405.57810256	139.773	6156405.14696151
ENSG00000104325	28.1635	5901370.23487973	21.1253	3645397.87079357
ENSG00000180817	16.9967	5885571.95776706	32.8945	5271345.68058948
ENSG00000170860	9.52575	5850111.55827809	7.55995	3304842.47472514
ENSG00000067057	44.827	5843653.80377238	82.396	6223670.8956884
ENSG00000142657	8.53323	5831939.46200677	0.303661	7512334.70581026
ENSG00000164687	0.984787	5828257.16641617	3.14815	43799279.1787871
ENSG00000067560	288.291	5827236.65192144	306.907	7365652.82166613
ENSG00000010256	39.9885	5803291.17116429	54.8906	6067500.60174036
ENSG00000138385	14.9506	5794212.8321448	16.2682	6694916.0570414
ENSG00000108561	89.7741	5708202.56436062	67.5749	3536185.61014354
ENSG00000155660	56.5347	5638542.55729762	54.0853	6106868.48912265
ENSG00000132341	123.061	5625672.48397533	77.9612	4082499.70608917
ENSG00000136938	219.805	5604387.75903666	147.204	3889824.33617244
ENSG00000185825	24.2992	5523006.55088684	24.2291	3436221.95146377
ENSG00000116251	65.2585	5518097.55763316	114.305	3062328.96300869
ENSG00000134684	38.5233	5491433.07583428	33.6389	3359989.6269583
ENSG00000066044	22.2756	5489894.10410666	20.3515	5143725.99131695
ENSG00000124795	6.80644	5468051.83276964	6.64193	4106008.25170141
ENSG00000167815	21.1477	5461239.09257026	13.1247	1691872.72129913
ENSG00000179115	32.8633	5408563.50218205	23.6408	3413145.65340933
ENSG00000118640	82.5326	5387032.41678803	140.983	7365253.97993274
ENSG00000168439	35.6431	5361700.29824645	42.6347	3807941.05609431
ENSG00000100714	23.8419	5329890.95205876	28.1957	4336484.78974712
ENSG00000104408	194.755	5324804.05511577	213.51	5403590.16927635
ENSG00000127022	146.634	5322219.39887056	139.96	4322681.18748641
ENSG00000204264	103.323	5302450.80824864	158.995	4388936.67893358
ENSG00000105401	70.217	5235041.61840057	86.995	5481731.56795693
ENSG00000156738	386.505	5214716.73032348	58.4445	2745475.94734259
ENSG00000126602	61.6392	5187799.04841082	60.0324	2768245.70582477
ENSG00000168291	17.3625	5174750.37933082	23.3397	5992489.60494503
ENSG00000184117	38.687	5107294.55090296	40.4451	3224684.50051836
ENSG00000169045	81.7863	5106084.26393487	86.8759	4338475.42550091
ENSG00000089157	660.327	5087872.53293199	561.362	5515952.95993265
ENSG00000103275	88.5189	5079422.59507649	78.7455	2667745.62403169
ENSG00000163931	93.9663	5062474.38322019	96.5305	5615508.36105368
ENSG00000090273	21.8378	5051861.89100691	26.7242	5187065.68012518
ENSG00000197157	49.3095	5047325.19342583	77.5263	5687099.48029633
ENSG00000213585	61.4879	4924152.28787821	77.2329	4982933.60405164
ENSG00000105379	35.4034	4917873.2368559	40.6407	3773683.1969535
ENSG00000071127	98.9136	4904359.65129112	164.046	5201201.42776702
ENSG00000105568	50.3218	4840656.46542342	39.5403	4687861.87794287
ENSG00000014641	62.3615	4826713.15715522	55.477	4476753.11716272
ENSG00000100097	468.608	4746331.74762448	787.44	9588482.14393788
ENSG00000168385	26.6704	4716784.90134072	34.7957	3284320.74842469
ENSG00000100412	15.6079	4705640.71472933	23.5389	2955263.24051168
ENSG00000109606	32.0728	4678738.78073821	33.7459	3402318.94401543
ENSG00000115233	11.7641	4671864.06775032	11.2026	4907765.4537327
ENSG00000100902	24.1776	4646977.83263174	24.1005	5073162.06964513
ENSG00000134440	32.1143	4643120.9821952	37.4474	3659752.97120275
ENSG00000161970	0.568468	4618128.73757207	2.91471	2920613.45762137
ENSG00000137106	18.7653	4612518.08256929	16.1017	4525308.95849499
ENSG00000198805	5.48548	4587475.92042412	12.2067	5213390.30954203
ENSG00000077312	77.1623	4519644.72645622	57.6305	5159750.913627
ENSG00000143870	76.6097	4519500.94354014	106.264	3005159.45257039
ENSG00000013275	40.7248	4465287.76054711	45.3635	3836970.43672898
ENSG00000168028	205.262	4463231.02894725	21.6972	4189426.328624
ENSG00000136942	68.2528	4460481.65004656	81.8637	2306960.64385083
ENSG00000101182	95.9678	4459266.41770106	97.645	4165009.79260144
ENSG00000135829	12.858	4448068.2874629	22.6215	4558425.34232603
ENSG00000136279	16.0815	4447163.52319505	19.8103	3718519.29128873
ENSG00000179218	255.973	4425318.48513827	335.975	5651906.45815592
ENSG00000116791	47.19	4417940.96305669	31.9528	6164876.95747973
ENSG00000169567	196.411	4412749.60551892	230.297	10454242.2711821
