ENSG	RNA rpkm.human	Protein ibaq.human	RNA rpkm.chimp	Protein ibaq.chimp
ENSG00000151247	4.46737	1310250.12561492	6.07586	1327786.60198058
ENSG00000108179	45.7876	1309108.98372285	51.71	727015.63122677
ENSG00000005007	21.3796	1308143.97952906	37.4439	1070864.9301892
ENSG00000164144	6.26033	1307378.49451307	4.73156	707469.679321987
ENSG00000147649	54.4836	1306634.46800694	43.1684	858470.520985452
ENSG00000115677	52.4533	1304950.65829608	127.544	1897786.30585921
ENSG00000136231	6.42869	1302803.05992136	11.8737	1294880.83083554
ENSG00000094916	18.2405	1301962.48391459	16.663	660460.077418174
ENSG00000133835	12.4962	1301391.48906289	14.4547	1046322.55601804
ENSG00000145833	11.3591	1300416.96506206	17.3544	1293099.67995093
ENSG00000126777	21.6072	1296159.32833738	34.5494	1533190.15202091
ENSG00000009844	29.296	1294229.22492044	28.4954	686435.934796956
ENSG00000141385	22.3591	1293779.46551997	20.2583	717184.182725569
ENSG00000144118	48.6499	1291915.07195444	72.4127	947260.25727341
ENSG00000157483	40.5926	1289723.70223077	9.69768	391514.315088392
ENSG00000116747	10.6546	1287754.68974292	19.2003	1330695.46816719
ENSG00000122884	55.7913	1287308.75715569	61.662	794323.192050776
ENSG00000167881	33.9681	1281943.85547816	55.4486	1338875.81472274
ENSG00000123338	33.2216	1281911.04420207	29.3034	753763.058689203
ENSG00000125870	44.0842	1280986.76210349	30.0011	2675124.4270158
ENSG00000182180	71.5452	1280415.9190565	108.528	1189989.21030405
ENSG00000116701	36.0112	1277249.55130655	86.7062	870222.323983277
ENSG00000033178	7.20618	1275862.18684058	9.00591	591747.601500877
ENSG00000116133	36.3096	1275551.60715564	34.1911	630824.192750919
ENSG00000101474	21.1988	1274675.04575477	32.6289	1328626.67858342
ENSG00000073969	14.8456	1273282.89213647	19.925	1112674.17608243
ENSG00000096401	11.1266	1273144.23631764	15.079	796225.675233379
ENSG00000112335	75.697	1271268.01156234	52.7063	1179709.69926594
ENSG00000007168	22.1399	1269990.12591858	19.8577	1652933.38580639
ENSG00000162521	13.7613	1268799.11148241	19.0197	1476548.6660473
ENSG00000105254	31.0053	1266103.55113805	33.4669	1032423.08868813
ENSG00000137312	52.5076	1263952.88466302	27.7422	778686.330399573
ENSG00000184743	9.86115	1261596.0928363	15.4697	1227916.19898004
ENSG00000160679	12.997	1260634.3233311	14.1925	1176903.50353648
ENSG00000159593	22.4488	1260417.26333659	22.1594	1471095.31265995
ENSG00000101150	32.4217	1260199.49873178	30.0678	826522.112873924
ENSG00000112096	7.00594	1259036.05730333	16.3357	1918345.15347106
ENSG00000119383	7.56931	1258664.2853677	11.9543	1003197.30010468
ENSG00000074842	29.6566	1255804.66326543	33.3485	1590580.29710819
ENSG00000128534	27.7368	1254637.81323818	27.3544	694096.757832621
ENSG00000112992	23.9965	1254103.43314713	21.7253	1215874.97652568
ENSG00000137965	56.8039	1253211.07172963	4.70294	802886.476647911
ENSG00000204435	58.72	1252008.54257646	45.2822	2036994.53787233
ENSG00000136888	23.6924	1249862.85243897	18.971	852562.309761301
ENSG00000093000	8.47962	1249690.43024751	8.41431	808586.3627208
ENSG00000116473	37.812	1247641.26383563	41.6862	1288455.43783054
ENSG00000180096	50.6518	1245825.10060996	51.8459	1502022.13593563
ENSG00000154582	22.7393	1245074.92167174	4.14291	2210728.55683282
ENSG00000166501	21.978	1244468.96285712	17.7721	226234.01229306
ENSG00000173786	22.6453	1242810.99076424	19.7292	652677.304956148
ENSG00000077420	31.1215	1242398.84769506	10.7301	373176.266817717
ENSG00000121691	20.4371	1242203.88810418	22.3369	2232407.70537383
ENSG00000132676	36.6968	1240421.63314659	32.4386	737437.230054377
ENSG00000053371	15.7493	1240212.93914301	7.79244	361251.081579926
ENSG00000113810	36.3309	1239974.83630797	42.256	1346328.38472777
ENSG00000111237	45.3268	1238946.66911724	31.7023	1184853.74003706
ENSG00000175970	13.8553	1238537.95921159	19.5452	1480904.92838154
ENSG00000166128	36.493	1238152.76840792	23.4908	394795.347311033
ENSG00000149196	10.915	1236027.35431389	16.6103	1992208.10554494
ENSG00000111641	22.373	1234174.72101243	19.9543	1071607.24620281
ENSG00000136026	22.0121	1232191.58225028	7.39136	550759.46128415
ENSG00000132182	39.6342	1229700.2661895	20.5808	640571.759687086
ENSG00000170584	36.9099	1229621.59557677	38.0627	858127.478263606
ENSG00000173486	9.24931	1228218.49213655	9.22121	1330742.25650916
ENSG00000242574	30.3409	1227353.38425212	18.3195	701660.001005207
ENSG00000153147	37.8665	1226033.04261482	67.9408	1225853.07079279
ENSG00000168394	71.798	1224544.06600975	76.334	1578522.9293
ENSG00000175110	13.9443	1224314.55242507	17.0566	1409421.54315765
ENSG00000054148	27.5573	1222406.90595237	32.1602	3720499.46279604
ENSG00000196839	18.6507	1220857.28409311	22.8239	1479106.72425588
ENSG00000124299	13.2542	1220650.45340336	10.1844	638708.855196273
ENSG00000131100	64.3882	1219972.0784991	58.0016	955492.931809051
ENSG00000102119	28.1265	1219248.17961037	32.5495	1301513.35765356
ENSG00000213639	11.7919	1215456.13243704	29.705	1486627.91202327
ENSG00000174231	41.3803	1213396.58526547	57.4902	1373696.75785005
ENSG00000076554	21.0961	1213041.38985304	24.292	1095893.2169995
ENSG00000116478	9.35681	1210607.30426781	4.13093	845073.702611107
ENSG00000163344	45.9041	1209473.39352594	45.2177	1702558.73832031
ENSG00000143947	67.4952	1205446.06384784	52.9094	1175012.24384992
ENSG00000095261	6.9176	1202996.52651281	21.1938	2001944.56509538
ENSG00000066583	11.9516	1198919.74741961	9.11188	949817.547885631
ENSG00000204843	11.1101	1197894.76025341	10.3407	1169914.13704089
ENSG00000169727	8.54409	1195861.91768717	15.5469	1327564.91110722
ENSG00000113649	17.2317	1193257.07779232	22.3536	971587.728398465
ENSG00000146729	9.56484	1192504.07536245	18.4318	1546478.47581406
ENSG00000084733	37.2111	1192273.70645159	41.5437	1405033.3859277
ENSG00000121022	7.15403	1191834.18368245	3.42631	1350911.58213471
ENSG00000172780	2.44634	1190541.10495115	5.89101	241988.244591225
ENSG00000083312	12.6475	1188247.92451432	14.5556	753620.018937464
ENSG00000126749	9.76089	1187785.38174858	11.4869	407543.741205173
ENSG00000136937	10.6167	1186641.73599833	12.7774	766369.827313874
ENSG00000123130	17.04	1184306.63739157	23.525	726337.141437036
ENSG00000119711	3.22406	1183960.20720198	5.18939	812099.64453569
ENSG00000111540	4.58505	1181809.40601153	9.07303	1819362.26585688
ENSG00000135069	16.4056	1180395.11789293	12.783	543222.306853021
ENSG00000108515	145.132	1178209.6414711	35.8688	773195.644784661
ENSG00000113441	19.0515	1176477.06683387	33.7854	1242387.13396901
ENSG00000163932	47.3975	1175516.79800995	19.4198	1141607.15864891
ENSG00000151552	16.6344	1175400.05341225	32.2845	2037216.50105165
ENSG00000136448	31.0613	1173232.27214176	33.7215	1490892.96494233
ENSG00000127125	40.7481	1171002.38025808	37.5354	1235325.26238782
ENSG00000118705	59.9153	1170720.87414602	68.8607	1061431.13781927
ENSG00000128609	7.29239	1170253.81358931	2.57984	1169093.63429439
ENSG00000135018	9.55037	1169599.89369612	12.7107	477329.403483023
ENSG00000006530	11.3046	1169436.68760846	18.9985	1874921.90841225
ENSG00000084070	44.7874	1169059.71922149	55.1393	836066.930131594
ENSG00000125354	91.2913	1165444.03103261	90.8356	1098922.43884924
ENSG00000113569	5.91063	1161796.01591841	11.9987	857015.663246845
ENSG00000168918	43.68	1159968.68557429	32.6269	1571394.28957674
ENSG00000100030	17.24	1157186.67665049	21.7263	660247.299540497
ENSG00000062194	20.9169	1156739.89869503	25.1881	766030.718529037
ENSG00000049449	10.4607	1155864.28002203	12.7304	1109821.04202881
ENSG00000144895	47.1568	1154944.76952127	52.7539	732656.905214048
ENSG00000138623	70.347	1154165.94128124	71.7134	425822.968609048
ENSG00000168883	15.7734	1151895.74119731	19.5778	1014381.75331783
ENSG00000127445	17.1485	1149649.27758213	27.7139	2057764.6682618
ENSG00000136141	8.55634	1148513.17540663	12.0335	63800.7952623109
ENSG00000254999	192.854	1144264.54867571	201.055	312307.500805243
ENSG00000164091	30.7391	1141497.14652453	38.4913	621526.527804141
ENSG00000089154	17.1574	1141426.82608258	19.4221	930041.395741302
ENSG00000196655	8.82898	1139286.80092778	14.4371	797572.313669915
ENSG00000157184	10.2491	1138792.99790298	12.2701	659839.421640651
ENSG00000137992	4.97434	1138459.57621472	7.60282	1286319.65329891
ENSG00000122140	40.7324	1137811.19290325	39.3033	549065.536941351
ENSG00000105364	48.5689	1136238.4963495	52.5587	648581.788377827
ENSG00000077809	12.6587	1132904.12479675	20.5294	756253.891152343
ENSG00000067829	20.0784	1132847.71612832	21.4128	564901.390373604
ENSG00000171262	5.584	1132019.45047622	8.23503	890031.616674899
ENSG00000163918	22.1872	1129613.67666666	21.3787	1985862.98051179
ENSG00000118007	3.51938	1129347.71438196	5.40292	437655.719257735
ENSG00000180228	13.9331	1127847.89703241	14.0809	569393.836636061
ENSG00000125755	17.1806	1126457.18352804	28.0342	907321.985449389
ENSG00000123545	12.3054	1122493.94787033	13.464	683260.987180135
ENSG00000132382	12.495	1117095.49882017	17.2345	803411.178907267
ENSG00000081307	9.28462	1116876.18348692	10.7208	1178721.57871579
ENSG00000100575	16.3466	1116721.55134319	11.5518	407239.173921642
ENSG00000072958	18.7401	1116300.21001413	28.5227	1327418.55507867
ENSG00000167792	47.2655	1113910.1590344	61.9476	1247659.66734475
ENSG00000035687	10.8201	1111560.40678451	15.3189	1421416.01704981
ENSG00000132603	21.9769	1110530.78706091	24.6499	1072815.31812849
ENSG00000091164	47.3964	1108774.15854694	46.0257	861252.735978504
ENSG00000120265	20.287	1107078.17630031	35.8606	2069718.02954768
ENSG00000107020	25.7748	1107006.77593687	42.4066	3839636.02797808
ENSG00000082515	33.1327	1106811.98979698	27.3344	879313.873067438
ENSG00000198356	38.0271	1104822.33349229	40.811	1204687.99082798
ENSG00000131368	11.8502	1103493.92415503	10.0402	1415549.74202098
ENSG00000176986	36.6629	1103173.98972839	46.7141	1049443.34351239
ENSG00000101347	6.619	1102855.13182865	3.51422	518104.253097799
ENSG00000110321	72.4349	1102587.15348911	65.1587	1043665.42970329
ENSG00000009307	118.805	1096534.48292904	156.25	1221767.57723945
ENSG00000167283	76.7338	1092824.81896737	76.2099	2733275.96115942
ENSG00000247596	19.5057	1091124.59703042	24.8451	1424988.47244818
ENSG00000156136	7.49614	1090910.6987706	5.75747	415625.764718626
ENSG00000084774	9.09613	1090305.43203888	16.1917	1069049.80239226
ENSG00000111445	13.58	1087893.95748142	15.8769	1349999.08317739
ENSG00000148484	44.8817	1085815.25656515	33.7362	1133156.4065799
ENSG00000036257	12.1307	1085676.37608062	14.714	693928.328488632
ENSG00000104805	14.463	1083948.65614224	14.2855	953228.16866695
ENSG00000104951	58.4687	1083385.40439488	23.1682	143520.977117021
ENSG00000067704	28.2048	1079690.16475953	45.3246	1018342.80532332
ENSG00000143811	24.4248	1077425.21176282	22.6948	701504.676031981
ENSG00000142168	156.324	1077179.29079219	126.043	1208247.0405866
ENSG00000182934	26.0087	1076804.43691017	52.691	1279810.2216915
ENSG00000166333	17.2189	1075998.91999768	20.6763	2199827.07395667
ENSG00000103426	24.1113	1073833.43926722	17.3436	603774.959389589
ENSG00000105953	21.5786	1071727.66549023	27.0399	982903.230589758
ENSG00000116455	9.65974	1069672.25667832	7.74676	621917.031022623
ENSG00000033050	14.0446	1067945.21588776	17.4095	1191531.0832865
ENSG00000132541	2.72385	1065051.38938646	1.04176	364272.355875511
ENSG00000078070	16.2773	1064542.50193743	18.5245	810468.095765288
ENSG00000167325	40.6129	1063383.19507358	60.328	1591589.44719934
ENSG00000107937	39.7153	1062684.31378588	29.9824	844066.316593025
ENSG00000104524	3.48404	1062251.23517456	4.90157	692590.705799976
ENSG00000078369	85.9532	1061353.50771039	82.3123	864014.897513882
ENSG00000138594	17.1748	1061332.50716386	25.6833	942042.159857264
ENSG00000123297	10.1761	1056666.19581955	10.8493	540259.936079291
ENSG00000074071	28.5757	1056125.22225036	33.0933	883541.733978344
ENSG00000078237	18.8395	1055110.60572122	19.1694	783734.349202189
ENSG00000156110	25.1776	1052369.51116822	34.1134	685494.580645851
ENSG00000079805	28.2409	1051003.38187892	39.8826	1498943.69364179
ENSG00000101132	21.6752	1047772.09621681	18.7098	849622.110645973
ENSG00000108465	15.7909	1046601.47076848	16.2526	774689.016110374
ENSG00000109519	16.1075	1045395.68064001	27.4844	1817296.73301444
ENSG00000144867	8.62272	1045381.63652789	9.61121	709341.947515472
ENSG00000121060	17.6128	1045195.33097373	35.1689	877769.107205155
ENSG00000130811	87.0518	1039701.52719202	123.206	1538911.56819147
ENSG00000136731	4.94808	1036219.61087882	9.76201	990320.908509304
ENSG00000138185	40.1995	1035777.17859414	36.0617	422297.942280794
ENSG00000037757	10.4207	1033363.84894917	8.5235	469841.404751882
ENSG00000100280	20.0034	1032323.64785226	24.2403	742681.566293197
ENSG00000004059	33.6894	1029154.25894519	39.0784	1108818.79117699
ENSG00000119707	19.4747	1029096.31980195	27.8356	1001051.73353834
ENSG00000110696	17.1848	1028442.50272431	18.9913	954744.64423758
ENSG00000143337	9.86277	1027603.88110533	16.2661	866989.096508669
ENSG00000119541	17.9566	1027395.8016257	20.5957	696266.8000531
ENSG00000060971	10.3548	1025793.55782683	8.5944	1095145.44950636
ENSG00000138175	14.785	1024640.46715671	47.3153	1643291.76210222
ENSG00000196961	19.6857	1024267.94808527	34.5628	1136066.38322339
ENSG00000037474	34.4254	1023642.72480943	38.3474	595421.735497862
ENSG00000116863	24.7668	1021962.88817515	21.7071	999668.529878606
ENSG00000186395	0.0368672	1020960.95748131	0.211066	732525.287062122
ENSG00000123609	50.7759	1020881.20284383	20.857	472816.688337083
ENSG00000187555	47.1795	1020679.11563555	48.5904	707016.88496357
ENSG00000029363	24.6978	1018088.93754041	26.2287	841252.936766945
ENSG00000035403	9.62378	1017781.46697746	18.034	799774.693841043
ENSG00000068366	24.318	1016824.34332963	38.4514	785948.425254865
ENSG00000116754	48.867	1014613.15519737	50.5108	1186036.62773974
ENSG00000100304	12.5934	1014337.11466578	18.6562	560485.786050081
ENSG00000198612	21.1593	1013926.77925967	21.5258	660120.272312095
ENSG00000170473	30.3794	1012446.44328707	21.0215	1809316.25349372
ENSG00000111642	43.3777	1009705.15549385	54.5916	882689.985750174
ENSG00000148334	13.7913	1009688.05887291	14.3115	582547.418414693
ENSG00000100554	17.1305	1009129.82787753	20.1318	232766.280791203
ENSG00000138758	24.2851	1008534.08393889	44.3008	736213.002866939
ENSG00000163584	400.935	1008418.534976	346.044	483362.107095807
ENSG00000087470	22.3226	1007724.83067517	21.0228	724756.333453506
ENSG00000104980	18.9815	1005728.51423161	17.6217	1000273.83626023
ENSG00000124831	2.63272	1004976.11967181	1.03919	531497.893960709
ENSG00000100029	25.3385	1003237.07451938	24.0949	827506.786036513
ENSG00000101413	12.9315	1003127.86933009	13.7156	826578.631625152
ENSG00000128654	28.6309	1000600.7177194	23.7235	509928.564378468
ENSG00000100836	49.1613	1000382.8621399	43.7012	885572.739398111
ENSG00000115840	9.36362	1000154.50254296	8.11502	1010845.77304706
ENSG00000005022	193.646	995710.629993408	231.359	1285518.84230375
ENSG00000147684	42.7617	992804.01877775	39.8029	668048.21430103
ENSG00000134602	44.3187	992448.611340271	60.8675	518503.653634711
ENSG00000133818	3.70752	990741.190013084	0.78881	935345.085734161
ENSG00000145220	25.2002	989785.051918581	25.0234	589322.8024717
ENSG00000211455	20.4723	987368.659608936	15.0511	424248.611673273
ENSG00000095002	13.7986	986650.944972573	13.8719	835575.493342789
ENSG00000003056	30.7641	985264.958964475	41.4942	1395957.12703947
ENSG00000054118	71.4196	985125.452509772	88.0445	811000.083289505
ENSG00000159692	61.2593	983461.398833955	50.5692	710859.778661574
ENSG00000130764	17.7439	983188.311929635	17.1508	626364.321595126
ENSG00000169504	37.2201	982809.329310115	31.1078	471994.466103532
ENSG00000163882	22.9722	982437.60195794	17.0929	471652.88024281
ENSG00000211456	8.50425	982128.516514644	7.40422	377998.331191351
ENSG00000137100	6.76305	981572.660361616	6.29603	513605.994917372
ENSG00000100401	18.4779	981537.294869222	17.4394	503352.462983191
ENSG00000088833	5.93386	981390.585945817	7.8424	2005856.23610835
ENSG00000197879	16.9586	980085.018523049	37.4961	1056845.39782024
ENSG00000011485	8.99029	977954.788866997	6.97026	646884.212076648
ENSG00000167508	33.788	977199.420891239	39.5805	831251.703293298
ENSG00000056558	51.8502	975041.461861011	99.0923	1463839.54027114
ENSG00000020922	11.1443	970978.867323009	17.3481	873521.575162378
ENSG00000102054	31.9571	970158.317914541	39.3763	1146582.46340212
ENSG00000081237	44.6095	969563.883102272	85.3039	1692921.12094234
ENSG00000109917	14.8431	968936.979687907	17.2239	833082.298955228
ENSG00000072786	27.2564	967772.478046573	19.7752	449681.434101753
ENSG00000134056	6.41084	963967.222212883	5.39825	1451014.60254809
ENSG00000106049	11.7269	961552.954043817	16.0565	921687.408339987
ENSG00000130332	120.84	959270.717180513	102.703	1032850.08869258
ENSG00000184047	8.44798	958379.187526364	8.78597	815806.833111962
ENSG00000093010	21.4525	954550.50706645	17.6256	535816.02199493
ENSG00000048828	14.3594	953929.64673263	21.7265	586540.7409543
ENSG00000112578	6.8123	952736.90143501	10.113	677174.171472858
ENSG00000070756	150.048	951723.138943218	146.05	855342.549168277
ENSG00000123136	80.0219	951114.514956606	63.9583	2048701.63370473
ENSG00000143222	69.0557	948652.003664573	53.9262	704634.391671691
ENSG00000000419	35.9665	948095.610217994	24.6792	1206370.26361852
ENSG00000111275	19.0286	947974.813153536	0.961234	3142813.04301181
ENSG00000081760	3.36601	947707.690240281	7.37367	750598.510510594
ENSG00000163938	48.0013	944153.695416862	50.0232	669730.021118888
ENSG00000117305	12.1497	942870.902747117	13.4039	1010113.93505327
ENSG00000145592	1007.24	941131.300110533	738.949	570139.216477979
ENSG00000119917	51.6603	940860.931209598	36.5265	1403763.76981978
ENSG00000101161	51.9219	938729.565907941	33.8673	779675.518754905
ENSG00000125912	10.3199	936947.226464846	12.8417	741005.861802162
ENSG00000143314	21.9495	935549.422306967	21.2769	1405622.97081242
ENSG00000129187	51.0095	934402.903908185	47.6645	760163.052940291
ENSG00000126088	14.3642	931981.094144646	11.1415	964944.012543072
ENSG00000166888	28.941	930423.019917701	35.6336	768673.721369908
ENSG00000090339	55.7765	930064.853295122	142.861	1081448.16244686
ENSG00000204220	51.4775	926182.694350529	39.3881	815146.755575622
ENSG00000164933	11.121	923866.620216086	19.4031	915213.732815365
ENSG00000177731	21.1655	921878.705665106	31.1294	562155.977696425
ENSG00000122643	13.5403	921859.906638406	7.10135	1065665.96456654
ENSG00000178057	29.4858	919506.775395474	28.114	569814.036310722
ENSG00000213465	41.9212	918645.092948761	21.4925	726095.278757601
ENSG00000153574	22.1154	916146.648114314	20.1478	873785.313618495
ENSG00000184983	41.7313	915973.867614922	27.3674	1080838.35033499
ENSG00000115271	7.61071	914597.325657798	4.70758	416509.466961932
ENSG00000243927	15.7833	913988.026612552	10.8725	1319476.0825681
ENSG00000146112	70.8408	913640.055117651	56.0665	666401.562423944
ENSG00000105887	36.8625	913286.000998604	59.3948	817341.618614654
ENSG00000038358	13.8354	911924.892572331	14.5727	1345943.71660248
ENSG00000172531	75.9394	911729.552169383	97.9079	889029.385864686
ENSG00000139613	14.4427	906891.863257345	18.8156	826371.191599504
ENSG00000100934	8.92944	906269.836665402	22.6292	2080743.4099384
ENSG00000164182	13.2767	903371.055768433	18.7128	448431.015536552
ENSG00000115275	23.5697	903108.33839685	28.4545	801212.711735709
ENSG00000112208	16.5475	902578.484469285	15.5359	1174698.36904225
ENSG00000055950	23.9192	902468.908667818	26.1277	619762.963229631
ENSG00000184922	28.0887	901580.80725904	41.396	1046775.73354776
ENSG00000061794	25.756	901470.00092457	25.625	382777.332686072
ENSG00000005810	10.9825	897436.569357688	11.9302	30378.44354827
ENSG00000163382	14.7665	897103.007923354	20.7487	511264.296582148
ENSG00000147586	30.8122	896033.581897025	26.2953	478876.184969079
ENSG00000169288	21.2558	895970.446998641	36.3065	740682.922188847
ENSG00000130414	21.7698	895499.754652111	31.1375	523199.851883849
ENSG00000171453	13.3647	894482.723242317	10.8332	1046930.8102338
ENSG00000106636	19.6771	893972.538161999	31.506	621574.401630515
ENSG00000104522	9.5458	892156.359614882	12.1777	767763.350369511
ENSG00000143774	29.6227	890518.907254557	33.3168	617022.298446068
ENSG00000157020	18.4983	889050.371542071	25.941	1081481.98041408
ENSG00000090520	12.9332	888940.956583741	12.4677	1110877.46417705
ENSG00000047410	18.9084	888870.253730132	29.1463	770420.837626619
ENSG00000184752	79.5554	886982.6806869	55.0404	361767.192206941
ENSG00000179958	34.2885	886686.711940181	36.8216	430668.210478987
ENSG00000104131	11.8487	886410.311806863	11.1524	589199.173221501
ENSG00000108479	10.2444	885848.747872896	19.104	1168161.69493231
ENSG00000126522	6.59749	885834.12189566	4.63619	259199.713533561
ENSG00000103769	70.1596	884231.702212062	80.6253	2118989.41703256
ENSG00000111667	20.1665	883889.50281668	25.1981	926801.091655986
ENSG00000007923	7.97432	883677.020517955	11.359	769111.714616164
ENSG00000102030	6.25643	883186.498564958	6.30561	852091.174289314
ENSG00000137959	126.305	881416.181522459	5.17051	483635.808463509
ENSG00000161267	11.7297	880703.556390288	12.718	735324.941241612
ENSG00000004779	51.657	880385.816905758	46.3935	452479.187517034
ENSG00000076944	23.8696	880378.781538232	28.3743	725409.499670731
ENSG00000103642	23.6478	876287.928926399	56.6328	1329384.66005644
ENSG00000144591	6.12444	873823.782795081	8.90181	1503968.87118006
ENSG00000132185	62.6822	873505.560187168	34.0556	1835977.32988366
ENSG00000119471	23.0266	873222.218091465	16.9093	859068.406651846
ENSG00000128228	14.471	872938.846425384	18.5494	1069308.02445441
ENSG00000093144	22.9126	872291.620401448	15.4747	1204760.08616015
ENSG00000039123	18.9579	871273.760051626	23.175	752631.544088372
ENSG00000105323	78.917	871216.179984336	94.3292	759461.892066467
ENSG00000140750	31.3802	869921.411742984	10.2984	284941.974565175
ENSG00000069424	26.3459	868249.291865135	15.7526	274841.74579149
ENSG00000118260	7.81727	868133.852064865	8.13555	773467.085408496
ENSG00000179091	38.8349	866299.175393388	42.2457	444664.161929086
ENSG00000143353	25.4025	866083.613938918	16.8623	639632.849392033
ENSG00000143374	9.21004	863703.438253325	12.5857	971888.036586982
ENSG00000060688	13.1431	863409.747912641	12.3363	807302.407916817
ENSG00000130227	11.8851	862803.641439229	17.6785	864541.865786444
ENSG00000101265	21.6389	860886.442471887	25.0139	258850.874896562
ENSG00000151500	15.8266	860562.639182907	22.7479	1567674.00961089
ENSG00000177879	11.0855	860492.566897888	0.367348	831115.621743971
ENSG00000101138	11.3348	860245.165559077	14.0542	672616.90620008
ENSG00000159459	5.47783	858800.253101939	9.19019	158320.158256865
ENSG00000072756	8.42214	858495.911884708	13.3832	957642.139717329
ENSG00000007080	41.1181	858469.372681539	45.4522	791220.188413378
ENSG00000176623	15.369	858332.896382592	9.0755	783039.445652693
ENSG00000164024	31.9801	857464.100254652	29.2411	650695.177905479
ENSG00000074319	25.2753	856310.192206057	28.3209	723289.040034603
ENSG00000175130	238.928	854985.833241289	131.889	270055.347738245
ENSG00000180448	27.1083	853752.677295087	33.1771	784951.759977291
ENSG00000157191	44.7155	853549.67009876	66.9044	883323.769758312
ENSG00000101146	13.8055	853527.984396358	14.5503	719781.368718726
ENSG00000144827	12.3917	853259.70629132	12.4011	551264.302477956
ENSG00000174243	14.4235	852297.31238515	19.8247	895365.550140915
ENSG00000136522	38.082	851476.542262744	32.7193	669601.688577049
ENSG00000047315	27.7875	848613.599785032	33.7133	923458.697233821
ENSG00000178127	43.5664	848563.542500094	16.6776	676546.257764682
ENSG00000184575	14.6827	846873.210425254	16.7991	565335.715986855
ENSG00000117593	16.9242	846866.766358267	23.5242	862330.260025851
ENSG00000133935	26.1722	846662.14548211	17.1159	731628.796930413
ENSG00000165209	16.3708	845519.975803802	9.22531	404887.227645121
ENSG00000164332	16.6982	844686.695135032	23.4736	1086037.04108873
ENSG00000196504	31.3804	844327.747683135	51.0015	801223.664399254
ENSG00000111843	18.0956	843566.117874034	20.4316	791747.91055729
ENSG00000055163	21.0863	842974.160318151	22.2712	542222.118953474
ENSG00000135900	38.0448	841338.939075362	40.6287	579544.857209132
ENSG00000144635	9.2747	840094.579291433	15.2946	1033893.98329527
ENSG00000105810	4.30696	839735.278555379	11.385	641854.997599768
ENSG00000196177	7.00115	839528.063207205	33.3138	1240088.00792181
ENSG00000109062	23.2832	838428.574372066	22.1138	817806.798796247
ENSG00000257727	5.06086	837296.38776859	2.66274	1064634.28454335
ENSG00000125450	16.3015	837244.410181745	13.0671	782283.972984937
ENSG00000167461	72.1242	833796.37898258	77.5418	1014312.35411735
ENSG00000115241	54.7516	832148.284983233	54.0303	1061646.63846399
ENSG00000014123	17.8145	829476.617643603	20.793	766514.69630988
ENSG00000198087	17.9134	828460.255367178	17.5071	734243.815151971
ENSG00000144580	30.7715	827528.467622727	39.1559	550741.174607074
ENSG00000115935	59.6334	826574.882633961	70.1206	984491.865244201
ENSG00000186687	8.92842	826176.854278439	10.806	326485.885059868
ENSG00000138496	15.4407	824994.804073034	16.5342	350564.593057133
ENSG00000155506	47.9192	824340.018035705	41.6452	635320.902996564
ENSG00000116752	32.7775	823548.335015203	27.1244	651820.516324914
ENSG00000181610	45.95	820492.626377994	47.291	585945.544711621
ENSG00000170759	25.5864	819719.670934239	45.6025	772277.597450119
ENSG00000146223	1.20862	816178.601352578	3.75202	472034.847665784
ENSG00000198231	39.2666	815554.180859584	45.3287	815224.981243612
ENSG00000065268	20.0968	812864.355995265	15.9699	848576.1683072
ENSG00000196290	13.1703	812392.841455555	9.00192	178463.866473295
ENSG00000100749	26.3711	808927.038648859	18.1306	392511.661647048
ENSG00000169919	16.424	808815.575386176	15.5345	163972.547969783
ENSG00000119421	42.1697	807944.941004709	51.2338	435675.268655016
ENSG00000100226	13.8903	805515.354308139	28.6584	886108.612255252
ENSG00000171566	15.4751	804260.512751682	15.2946	651609.59951419
ENSG00000149089	7.86387	804003.965359611	14.1118	384877.76364805
ENSG00000159399	5.02185	802994.576882296	8.47508	238259.207338011
ENSG00000178927	23.6016	802639.251412697	49.2206	1157424.19356715
ENSG00000108578	31.7589	801834.257232594	43.8839	597820.652811696
ENSG00000097033	32.1894	801402.973630542	38.5875	833049.979512169
ENSG00000134717	8.61765	801276.729763212	9.178	1028059.18197988
ENSG00000106367	40.4328	798899.62634737	50.0717	899831.387272644
ENSG00000128604	56.2854	797160.825391168	18.0863	81543.1630947628
ENSG00000117862	3.97927	795998.23458234	4.54823	483470.165100335
ENSG00000108094	10.5477	795415.612434908	13.2458	595185.157837195
ENSG00000182551	20.8633	794828.784074544	10.8798	131257.561130749
ENSG00000185104	10.7224	791437.727203417	9.94272	417220.161547124
ENSG00000102390	14.3095	789735.657945129	19.0535	564740.188219963
ENSG00000113460	16.847	788896.04844214	13.5555	255611.438449357
ENSG00000163960	8.09899	786300.776354203	12.2794	328132.683693556
ENSG00000197102	10.4309	784326.963091823	27.4099	1142812.39201471
ENSG00000185745	29.478	784249.20002559	3.41204	711062.196521487
ENSG00000135778	26.6548	783433.935701516	30.682	576726.52483383
ENSG00000198408	42.0525	783246.706711408	40.024	450591.10849513
ENSG00000145703	9.9644	782738.195623218	5.61195	723814.510476448
ENSG00000152413	1.19479	782329.778556914	0.772399	587347.575075892
ENSG00000065548	20.7508	782165.228153973	12.8183	631841.067574691
ENSG00000131828	24.1033	781328.02861506	19.255	1172672.31683749
